Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,lat_lon,isolation_source,subjectid,WoundEtiology,WoundLocation,WoundSite,isolate,sample_type
SRR1822668,AMPLICON,393,24119427,PRJNA276742,SAMN03380195,"Microbe\, viral or environmental",64003852,UNVIERSITY OF MONTANA,2011,public,"run.zq,sff,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX893813,USA,North America,USA,Homo sapiens,454 GS FLX Titanium,Chronic_wound,SINGLE,PCR,METAGENOMIC,human metagenome,LS454,2015-03-31T00:00:00Z,2015-03-02T21:23:00Z,1,Chronic wound biofilm 16S,SRP055689,,chronic wound,,,,,wound biofilm,tissue sample
SRR26196829,AMPLICON,602,59244626,PRJNA1021648,SAMN37567729,Metagenome or environmental,33791537,UNIVERSITY OF WISCONSIN-MADISON,2021-08-11,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX21908216,USA,North America,USA,Homo sapiens,Illumina MiSeq,LK16S004-369,PAIRED,PCR,METAGENOMIC,human skin metagenome,ILLUMINA,2023-09-27T00:00:00Z,2023-09-27T18:40:00Z,1,LK16S004-369,SRP463502,43.07564545 N 89.41219398 W,,WTB-009,Pressure Ulcer,Wound Edge,Sacrum & coccyx,,
SRR12664466,RNA-Seq,150,4455094165,PRJNA663266,SAMN16124657,Metagenome or environmental,2044237298,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2017-07-05,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9145117,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,C2_DFU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T21:22:00Z,1,C2_DFU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664467,RNA-Seq,150,5592413286,PRJNA663266,SAMN16124656,Metagenome or environmental,2540642700,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2018-02-26,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9145116,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,P2_DFU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T21:25:00Z,1,P2_DFU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664468,RNA-Seq,150,8550286576,PRJNA663266,SAMN16124655,Metagenome or environmental,3822546574,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2016-10-17,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9145115,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,J1_VLU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T22:00:00Z,1,J1_VLU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664469,RNA-Seq,150,6311944437,PRJNA663266,SAMN16124654,Metagenome or environmental,2818864478,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2016-11-15,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9145114,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,M1_DFU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T21:38:00Z,1,M1_DFU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664470,RNA-Seq,150,5889615945,PRJNA663266,SAMN16124653,Metagenome or environmental,2716802261,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2016-11-14,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9145113,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,N1_VLU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T22:09:00Z,1,N1_VLU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664472,RNA-Seq,150,7287032386,PRJNA663266,SAMN16124651,Metagenome or environmental,3275844285,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2016-11-18,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9145111,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,O1_DFU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T21:53:00Z,1,O1_DFU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664473,RNA-Seq,150,5433372001,PRJNA663266,SAMN16124650,Metagenome or environmental,2449507079,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2017-08-09,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9145110,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,G2_DW,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T21:25:00Z,1,G2_DW_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
SRR12664474,RNA-Seq,150,9634232121,PRJNA663266,SAMN16124649,Metagenome or environmental,3299275568,U.S. ARMY INSTITUTE OF SURGICAL RESEARCH,2017-04-14,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9145109,USA,North America,USA: New Braunfels,Homo sapiens,NextSeq 500,T1_PU,SINGLE,RANDOM,METATRANSCRIPTOMIC,human metagenome,ILLUMINA,2021-09-01T00:00:00Z,2020-09-17T21:39:00Z,1,T1_PU_metaT,SRP283146,29.70 N 98.12 W,debrided wound tissue,,,,,,
