taxid,Type,Type_PS,Species,Habitat,Database,SResolution,TResolution
491893,Abalone virus,Abalone virus,Abalone shriveling syndrome-associated virus,Reference genome,NCBI,Defined,Defined
1000737847,Abalone virus,Abalone virus,Abalone shriveling syndrome-associated virus,Reference genome,IMGVR,Defined,Defined
1000165092,Accumulibacter phage,Accumulibacter phage,Accumulibacter phage 1,Engineered,IMGVR,Defined,Defined
1000530828,Acetomicrobium phage,Acetomicrobium phage,Acetomicrobium phage 1,Engineered,IMGVR,Defined,Defined
1000609103,Acetomicrobium phage,Acetomicrobium phage,Acetomicrobium phage 2,Engineered,IMGVR,Defined,Defined
1000528342,Achromobacter phage,Achromobacter phage,Achromobacter phage 1,Engineered,IMGVR,Defined,Defined
1000211297,Acidaminococcus phage,Acidaminococcus phage,Acidaminococcus phage1,Host-associated(human),IMGVR,Defined,Defined
1000737501,Acidianus virus,Acidianus virus,Acidianus bottle-shaped virus,Reference genome,IMGVR,Defined,Defined
1000737624,Acidianus virus,Acidianus virus,Acidianus filamentous virus 6,Reference genome,IMGVR,Defined,Defined
1000737625,Acidianus virus,Acidianus virus,Acidianus filamentous virus 7,Reference genome,IMGVR,Defined,Defined
1000749032,Acidovorax phage,Acidovorax phage,Acidovorax phage 1,Curated prophage,IMGVR,Defined,Defined
2560261,Acidovorx phage,Acidovorx phage,Acidovorax virus ACP17,Reference genome,NCBI,Defined,Defined
1000750534,Acinetobacter inovirus,Acinetobacter inovirus,Acinetobacter inovirus 1,Curated prophage,IMGVR,Defined,Defined
1000757071,Acinetobacter inovirus,Acinetobacter inovirus,Acinetobacter inovirus 2,Curated prophage,IMGVR,Defined,Defined
1000750422,Acinetobacter phage,Acinetobacter phage,Acinetobacter Mulikevirus,Curated prophage,IMGVR,Defined,Defined
1000050390,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 1,Marine,IMGVR,Defined,Defined
1000528291,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 10,Engineered,IMGVR,Defined,Defined
1000528902,Acinetobacter phage,Acinetobacter phage,Acinetobacter phage 11,Engineered,IMGVR,Defined,Defined
